prompt,response
"I have the following symptoms:  continuous_sneezing,  shivering,  chills.","Based on your symptoms, the likely diagnosis is Allergy."
"I have the following symptoms:  continuous_sneezing,  shivering,  chills,  watering_from_eyes.","Based on your symptoms, the likely diagnosis is Allergy."
"I have the following symptoms:  stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  cough,  chest_pain.","Based on your symptoms, the likely diagnosis is GERD."
"I have the following symptoms:  stomach_pain,  ulcers_on_tongue,  vomiting,  cough,  chest_pain.","Based on your symptoms, the likely diagnosis is GERD."
"I have the following symptoms:  stomach_pain,  acidity,  vomiting,  cough,  chest_pain.","Based on your symptoms, the likely diagnosis is GERD."
"I have the following symptoms:  stomach_pain,  acidity,  ulcers_on_tongue,  cough,  chest_pain.","Based on your symptoms, the likely diagnosis is GERD."
"I have the following symptoms:  stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  chest_pain.","Based on your symptoms, the likely diagnosis is GERD."
"I have the following symptoms:  stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  cough.","Based on your symptoms, the likely diagnosis is GERD."
"I have the following symptoms:  acidity,  ulcers_on_tongue,  vomiting,  cough,  chest_pain.","Based on your symptoms, the likely diagnosis is GERD."
"I have the following symptoms:  stomach_pain,  ulcers_on_tongue,  vomiting,  cough,  chest_pain.","Based on your symptoms, the likely diagnosis is GERD."
"I have the following symptoms:  stomach_pain,  acidity,  vomiting,  cough,  chest_pain.","Based on your symptoms, the likely diagnosis is GERD."
"I have the following symptoms:  stomach_pain,  acidity,  ulcers_on_tongue,  cough,  chest_pain.","Based on your symptoms, the likely diagnosis is GERD."
"I have the following symptoms: itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes.","Based on your symptoms, the likely diagnosis is Chronic cholestasis."
"I have the following symptoms:  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes.","Based on your symptoms, the likely diagnosis is Chronic cholestasis."
"I have the following symptoms: itching,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes.","Based on your symptoms, the likely diagnosis is Chronic cholestasis."
"I have the following symptoms: itching,  vomiting,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes.","Based on your symptoms, the likely diagnosis is Chronic cholestasis."
"I have the following symptoms: itching,  vomiting,  yellowish_skin,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes.","Based on your symptoms, the likely diagnosis is Chronic cholestasis."
"I have the following symptoms: itching,  vomiting,  yellowish_skin,  nausea,  abdominal_pain,  yellowing_of_eyes.","Based on your symptoms, the likely diagnosis is Chronic cholestasis."
"I have the following symptoms: itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  yellowing_of_eyes.","Based on your symptoms, the likely diagnosis is Chronic cholestasis."
"I have the following symptoms: itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain.","Based on your symptoms, the likely diagnosis is Chronic cholestasis."
"I have the following symptoms: itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes.","Based on your symptoms, the likely diagnosis is Chronic cholestasis."
"I have the following symptoms: itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes.","Based on your symptoms, the likely diagnosis is Chronic cholestasis."
"I have the following symptoms: itching,  skin_rash,  stomach_pain,  burning_micturition,  spotting_ urination.","Based on your symptoms, the likely diagnosis is Drug Reaction."
"I have the following symptoms: itching,  stomach_pain,  burning_micturition,  spotting_ urination.","Based on your symptoms, the likely diagnosis is Drug Reaction."
"I have the following symptoms: itching,  skin_rash,  burning_micturition,  spotting_ urination.","Based on your symptoms, the likely diagnosis is Drug Reaction."
"I have the following symptoms: itching,  skin_rash,  stomach_pain,  spotting_ urination.","Based on your symptoms, the likely diagnosis is Drug Reaction."
"I have the following symptoms: itching,  skin_rash,  stomach_pain,  burning_micturition.","Based on your symptoms, the likely diagnosis is Drug Reaction."
"I have the following symptoms:  skin_rash,  stomach_pain,  burning_micturition,  spotting_ urination.","Based on your symptoms, the likely diagnosis is Drug Reaction."
"I have the following symptoms: itching,  stomach_pain,  burning_micturition,  spotting_ urination.","Based on your symptoms, the likely diagnosis is Drug Reaction."
"I have the following symptoms: itching,  skin_rash,  burning_micturition,  spotting_ urination.","Based on your symptoms, the likely diagnosis is Drug Reaction."
"I have the following symptoms: itching,  skin_rash,  stomach_pain,  spotting_ urination.","Based on your symptoms, the likely diagnosis is Drug Reaction."
"I have the following symptoms: itching,  skin_rash,  stomach_pain,  burning_micturition.","Based on your symptoms, the likely diagnosis is Drug Reaction."
"I have the following symptoms:  vomiting,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching.","Based on your symptoms, the likely diagnosis is Peptic ulcer diseae."
"I have the following symptoms:  vomiting,  indigestion,  abdominal_pain,  passage_of_gases,  internal_itching.","Based on your symptoms, the likely diagnosis is Peptic ulcer diseae."
"I have the following symptoms:  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching.","Based on your symptoms, the likely diagnosis is Peptic ulcer diseae."
"I have the following symptoms:  vomiting,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching.","Based on your symptoms, the likely diagnosis is Peptic ulcer diseae."
"I have the following symptoms:  vomiting,  indigestion,  abdominal_pain,  passage_of_gases,  internal_itching.","Based on your symptoms, the likely diagnosis is Peptic ulcer diseae."
"I have the following symptoms:  vomiting,  indigestion,  loss_of_appetite,  passage_of_gases,  internal_itching.","Based on your symptoms, the likely diagnosis is Peptic ulcer diseae."
"I have the following symptoms:  vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  internal_itching.","Based on your symptoms, the likely diagnosis is Peptic ulcer diseae."
"I have the following symptoms:  vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases.","Based on your symptoms, the likely diagnosis is Peptic ulcer diseae."
"I have the following symptoms:  vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching.","Based on your symptoms, the likely diagnosis is Peptic ulcer diseae."
"I have the following symptoms:  vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching.","Based on your symptoms, the likely diagnosis is Peptic ulcer diseae."
"I have the following symptoms:  muscle_wasting,  patches_in_throat,  high_fever,  extra_marital_contacts.","Based on your symptoms, the likely diagnosis is AIDS."
"I have the following symptoms:  patches_in_throat,  high_fever,  extra_marital_contacts.","Based on your symptoms, the likely diagnosis is AIDS."
"I have the following symptoms:  muscle_wasting,  high_fever,  extra_marital_contacts.","Based on your symptoms, the likely diagnosis is AIDS."
"I have the following symptoms:  muscle_wasting,  patches_in_throat,  extra_marital_contacts.","Based on your symptoms, the likely diagnosis is AIDS."
"I have the following symptoms:  muscle_wasting,  patches_in_throat,  high_fever.","Based on your symptoms, the likely diagnosis is AIDS."
"I have the following symptoms:  muscle_wasting,  patches_in_throat,  high_fever,  extra_marital_contacts.","Based on your symptoms, the likely diagnosis is AIDS."
"I have the following symptoms:  muscle_wasting,  patches_in_throat,  high_fever,  extra_marital_contacts.","Based on your symptoms, the likely diagnosis is AIDS."
"I have the following symptoms:  patches_in_throat,  high_fever,  extra_marital_contacts.","Based on your symptoms, the likely diagnosis is AIDS."
"I have the following symptoms:  muscle_wasting,  high_fever,  extra_marital_contacts.","Based on your symptoms, the likely diagnosis is AIDS."
"I have the following symptoms:  muscle_wasting,  patches_in_throat,  high_fever.","Based on your symptoms, the likely diagnosis is AIDS."
"I have the following symptoms:  fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria.","Based on your symptoms, the likely diagnosis is Diabetes ."
"I have the following symptoms:  fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria.","Based on your symptoms, the likely diagnosis is Diabetes ."
"I have the following symptoms:  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria.","Based on your symptoms, the likely diagnosis is Diabetes ."
"I have the following symptoms:  fatigue,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria.","Based on your symptoms, the likely diagnosis is Diabetes ."
"I have the following symptoms:  fatigue,  weight_loss,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria.","Based on your symptoms, the likely diagnosis is Diabetes ."
"I have the following symptoms:  fatigue,  weight_loss,  restlessness,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria.","Based on your symptoms, the likely diagnosis is Diabetes ."
"I have the following symptoms:  fatigue,  weight_loss,  restlessness,  lethargy,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria.","Based on your symptoms, the likely diagnosis is Diabetes ."
"I have the following symptoms:  fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  obesity,  excessive_hunger,  increased_appetite,  polyuria.","Based on your symptoms, the likely diagnosis is Diabetes ."
"I have the following symptoms:  fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  excessive_hunger,  increased_appetite,  polyuria.","Based on your symptoms, the likely diagnosis is Diabetes ."
"I have the following symptoms:  fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  increased_appetite,  polyuria.","Based on your symptoms, the likely diagnosis is Diabetes ."
"I have the following symptoms:  vomiting,  sunken_eyes,  dehydration,  diarrhoea.","Based on your symptoms, the likely diagnosis is Gastroenteritis."
"I have the following symptoms:  vomiting,  sunken_eyes,  dehydration,  diarrhoea.","Based on your symptoms, the likely diagnosis is Gastroenteritis."
"I have the following symptoms:  sunken_eyes,  dehydration,  diarrhoea.","Based on your symptoms, the likely diagnosis is Gastroenteritis."
"I have the following symptoms:  vomiting,  dehydration,  diarrhoea.","Based on your symptoms, the likely diagnosis is Gastroenteritis."
"I have the following symptoms:  vomiting,  sunken_eyes,  diarrhoea.","Based on your symptoms, the likely diagnosis is Gastroenteritis."
"I have the following symptoms:  vomiting,  sunken_eyes,  dehydration.","Based on your symptoms, the likely diagnosis is Gastroenteritis."
"I have the following symptoms:  vomiting,  sunken_eyes,  dehydration,  diarrhoea.","Based on your symptoms, the likely diagnosis is Gastroenteritis."
"I have the following symptoms:  sunken_eyes,  dehydration,  diarrhoea.","Based on your symptoms, the likely diagnosis is Gastroenteritis."
"I have the following symptoms:  vomiting,  dehydration,  diarrhoea.","Based on your symptoms, the likely diagnosis is Gastroenteritis."
"I have the following symptoms:  vomiting,  sunken_eyes,  diarrhoea.","Based on your symptoms, the likely diagnosis is Gastroenteritis."
"I have the following symptoms:  fatigue,  cough,  high_fever,  breathlessness,  family_history,  mucoid_sputum.","Based on your symptoms, the likely diagnosis is Bronchial Asthma."
"I have the following symptoms:  cough,  high_fever,  breathlessness,  family_history,  mucoid_sputum.","Based on your symptoms, the likely diagnosis is Bronchial Asthma."
"I have the following symptoms:  fatigue,  high_fever,  breathlessness,  family_history,  mucoid_sputum.","Based on your symptoms, the likely diagnosis is Bronchial Asthma."
"I have the following symptoms:  fatigue,  cough,  breathlessness,  family_history,  mucoid_sputum.","Based on your symptoms, the likely diagnosis is Bronchial Asthma."
"I have the following symptoms:  fatigue,  cough,  high_fever,  family_history,  mucoid_sputum.","Based on your symptoms, the likely diagnosis is Bronchial Asthma."
"I have the following symptoms:  fatigue,  cough,  high_fever,  breathlessness,  mucoid_sputum.","Based on your symptoms, the likely diagnosis is Bronchial Asthma."
"I have the following symptoms:  fatigue,  cough,  high_fever,  breathlessness,  family_history.","Based on your symptoms, the likely diagnosis is Bronchial Asthma."
"I have the following symptoms:  fatigue,  cough,  high_fever,  breathlessness,  family_history,  mucoid_sputum.","Based on your symptoms, the likely diagnosis is Bronchial Asthma."
"I have the following symptoms:  cough,  high_fever,  breathlessness,  family_history,  mucoid_sputum.","Based on your symptoms, the likely diagnosis is Bronchial Asthma."
"I have the following symptoms:  fatigue,  high_fever,  breathlessness,  family_history,  mucoid_sputum.","Based on your symptoms, the likely diagnosis is Bronchial Asthma."
"I have the following symptoms:  headache,  chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration.","Based on your symptoms, the likely diagnosis is Hypertension ."
"I have the following symptoms:  chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration.","Based on your symptoms, the likely diagnosis is Hypertension ."
"I have the following symptoms:  headache,  dizziness,  loss_of_balance,  lack_of_concentration.","Based on your symptoms, the likely diagnosis is Hypertension ."
"I have the following symptoms:  headache,  chest_pain,  loss_of_balance,  lack_of_concentration.","Based on your symptoms, the likely diagnosis is Hypertension ."
"I have the following symptoms:  headache,  chest_pain,  dizziness,  lack_of_concentration.","Based on your symptoms, the likely diagnosis is Hypertension ."
"I have the following symptoms:  headache,  chest_pain,  dizziness,  loss_of_balance.","Based on your symptoms, the likely diagnosis is Hypertension ."
"I have the following symptoms:  headache,  chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration.","Based on your symptoms, the likely diagnosis is Hypertension ."
"I have the following symptoms:  chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration.","Based on your symptoms, the likely diagnosis is Hypertension ."
"I have the following symptoms:  headache,  dizziness,  loss_of_balance,  lack_of_concentration.","Based on your symptoms, the likely diagnosis is Hypertension ."
"I have the following symptoms:  headache,  chest_pain,  loss_of_balance,  lack_of_concentration.","Based on your symptoms, the likely diagnosis is Hypertension ."
"I have the following symptoms:  acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances.","Based on your symptoms, the likely diagnosis is Migraine."
"I have the following symptoms:  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances.","Based on your symptoms, the likely diagnosis is Migraine."
"I have the following symptoms:  acidity,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances.","Based on your symptoms, the likely diagnosis is Migraine."
"I have the following symptoms:  acidity,  indigestion,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances.","Based on your symptoms, the likely diagnosis is Migraine."
"I have the following symptoms:  acidity,  indigestion,  headache,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances.","Based on your symptoms, the likely diagnosis is Migraine."
"I have the following symptoms:  acidity,  indigestion,  headache,  blurred_and_distorted_vision,  stiff_neck,  depression,  irritability,  visual_disturbances.","Based on your symptoms, the likely diagnosis is Migraine."
"I have the following symptoms:  acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  depression,  irritability,  visual_disturbances.","Based on your symptoms, the likely diagnosis is Migraine."
"I have the following symptoms:  acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  irritability,  visual_disturbances.","Based on your symptoms, the likely diagnosis is Migraine."
"I have the following symptoms:  acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  visual_disturbances.","Based on your symptoms, the likely diagnosis is Migraine."
"I have the following symptoms:  acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability.","Based on your symptoms, the likely diagnosis is Migraine."
"I have the following symptoms:  back_pain,  weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance.","Based on your symptoms, the likely diagnosis is Cervical spondylosis."
"I have the following symptoms:  back_pain,  weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance.","Based on your symptoms, the likely diagnosis is Cervical spondylosis."
"I have the following symptoms:  weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance.","Based on your symptoms, the likely diagnosis is Cervical spondylosis."
"I have the following symptoms:  back_pain,  neck_pain,  dizziness,  loss_of_balance.","Based on your symptoms, the likely diagnosis is Cervical spondylosis."
"I have the following symptoms:  back_pain,  weakness_in_limbs,  dizziness,  loss_of_balance.","Based on your symptoms, the likely diagnosis is Cervical spondylosis."
"I have the following symptoms:  back_pain,  weakness_in_limbs,  neck_pain,  loss_of_balance.","Based on your symptoms, the likely diagnosis is Cervical spondylosis."
"I have the following symptoms:  back_pain,  weakness_in_limbs,  neck_pain,  dizziness.","Based on your symptoms, the likely diagnosis is Cervical spondylosis."
"I have the following symptoms:  back_pain,  weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance.","Based on your symptoms, the likely diagnosis is Cervical spondylosis."
"I have the following symptoms:  weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance.","Based on your symptoms, the likely diagnosis is Cervical spondylosis."
"I have the following symptoms:  back_pain,  neck_pain,  dizziness,  loss_of_balance.","Based on your symptoms, the likely diagnosis is Cervical spondylosis."
"I have the following symptoms:  vomiting,  headache,  weakness_of_one_body_side,  altered_sensorium.","Based on your symptoms, the likely diagnosis is Paralysis (brain hemorrhage)."
"I have the following symptoms:  vomiting,  headache,  weakness_of_one_body_side,  altered_sensorium.","Based on your symptoms, the likely diagnosis is Paralysis (brain hemorrhage)."
"I have the following symptoms:  headache,  weakness_of_one_body_side,  altered_sensorium.","Based on your symptoms, the likely diagnosis is Paralysis (brain hemorrhage)."
"I have the following symptoms:  vomiting,  weakness_of_one_body_side,  altered_sensorium.","Based on your symptoms, the likely diagnosis is Paralysis (brain hemorrhage)."
"I have the following symptoms:  vomiting,  headache,  altered_sensorium.","Based on your symptoms, the likely diagnosis is Paralysis (brain hemorrhage)."
"I have the following symptoms:  vomiting,  headache,  weakness_of_one_body_side.","Based on your symptoms, the likely diagnosis is Paralysis (brain hemorrhage)."
"I have the following symptoms:  vomiting,  headache,  weakness_of_one_body_side,  altered_sensorium.","Based on your symptoms, the likely diagnosis is Paralysis (brain hemorrhage)."
"I have the following symptoms:  headache,  weakness_of_one_body_side,  altered_sensorium.","Based on your symptoms, the likely diagnosis is Paralysis (brain hemorrhage)."
"I have the following symptoms:  vomiting,  weakness_of_one_body_side,  altered_sensorium.","Based on your symptoms, the likely diagnosis is Paralysis (brain hemorrhage)."
"I have the following symptoms:  vomiting,  headache,  altered_sensorium.","Based on your symptoms, the likely diagnosis is Paralysis (brain hemorrhage)."
"I have the following symptoms: itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain.","Based on your symptoms, the likely diagnosis is Jaundice."
"I have the following symptoms: itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain.","Based on your symptoms, the likely diagnosis is Jaundice."
"I have the following symptoms:  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain.","Based on your symptoms, the likely diagnosis is Jaundice."
"I have the following symptoms: itching,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain.","Based on your symptoms, the likely diagnosis is Jaundice."
"I have the following symptoms: itching,  vomiting,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain.","Based on your symptoms, the likely diagnosis is Jaundice."
"I have the following symptoms: itching,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain.","Based on your symptoms, the likely diagnosis is Jaundice."
"I have the following symptoms: itching,  vomiting,  fatigue,  weight_loss,  yellowish_skin,  dark_urine,  abdominal_pain.","Based on your symptoms, the likely diagnosis is Jaundice."
"I have the following symptoms: itching,  vomiting,  fatigue,  weight_loss,  high_fever,  dark_urine,  abdominal_pain.","Based on your symptoms, the likely diagnosis is Jaundice."
"I have the following symptoms: itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  abdominal_pain.","Based on your symptoms, the likely diagnosis is Jaundice."
"I have the following symptoms: itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine.","Based on your symptoms, the likely diagnosis is Jaundice."
"I have the following symptoms:  chills,  vomiting,  high_fever,  sweating,  headache,  nausea,  muscle_pain.","Based on your symptoms, the likely diagnosis is Malaria."
"I have the following symptoms:  chills,  vomiting,  high_fever,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain.","Based on your symptoms, the likely diagnosis is Malaria."
"I have the following symptoms:  chills,  vomiting,  high_fever,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain.","Based on your symptoms, the likely diagnosis is Malaria."
"I have the following symptoms:  vomiting,  high_fever,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain.","Based on your symptoms, the likely diagnosis is Malaria."
"I have the following symptoms:  chills,  high_fever,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain.","Based on your symptoms, the likely diagnosis is Malaria."
"I have the following symptoms:  chills,  vomiting,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain.","Based on your symptoms, the likely diagnosis is Malaria."
"I have the following symptoms:  chills,  vomiting,  high_fever,  headache,  nausea,  diarrhoea,  muscle_pain.","Based on your symptoms, the likely diagnosis is Malaria."
"I have the following symptoms:  chills,  vomiting,  high_fever,  sweating,  nausea,  diarrhoea,  muscle_pain.","Based on your symptoms, the likely diagnosis is Malaria."
"I have the following symptoms:  chills,  vomiting,  high_fever,  sweating,  headache,  diarrhoea,  muscle_pain.","Based on your symptoms, the likely diagnosis is Malaria."
"I have the following symptoms:  chills,  vomiting,  high_fever,  sweating,  headache,  nausea,  muscle_pain.","Based on your symptoms, the likely diagnosis is Malaria."
"I have the following symptoms: itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body.","Based on your symptoms, the likely diagnosis is Chicken pox."
"I have the following symptoms:  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body.","Based on your symptoms, the likely diagnosis is Chicken pox."
"I have the following symptoms: itching,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body.","Based on your symptoms, the likely diagnosis is Chicken pox."
"I have the following symptoms: itching,  skin_rash,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body.","Based on your symptoms, the likely diagnosis is Chicken pox."
"I have the following symptoms: itching,  skin_rash,  fatigue,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body.","Based on your symptoms, the likely diagnosis is Chicken pox."
"I have the following symptoms: itching,  skin_rash,  fatigue,  lethargy,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body.","Based on your symptoms, the likely diagnosis is Chicken pox."
"I have the following symptoms: itching,  skin_rash,  fatigue,  lethargy,  high_fever,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body.","Based on your symptoms, the likely diagnosis is Chicken pox."
"I have the following symptoms: itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body.","Based on your symptoms, the likely diagnosis is Chicken pox."
"I have the following symptoms: itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  swelled_lymph_nodes,  malaise,  red_spots_over_body.","Based on your symptoms, the likely diagnosis is Chicken pox."
"I have the following symptoms: itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  malaise,  red_spots_over_body.","Based on your symptoms, the likely diagnosis is Chicken pox."
"I have the following symptoms:  skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  muscle_pain,  red_spots_over_body.","Based on your symptoms, the likely diagnosis is Dengue."
"I have the following symptoms:  skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  red_spots_over_body.","Based on your symptoms, the likely diagnosis is Dengue."
"I have the following symptoms:  skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain.","Based on your symptoms, the likely diagnosis is Dengue."
"I have the following symptoms:  skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain,  red_spots_over_body.","Based on your symptoms, the likely diagnosis is Dengue."
"I have the following symptoms:  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain,  red_spots_over_body.","Based on your symptoms, the likely diagnosis is Dengue."
"I have the following symptoms:  skin_rash,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain,  red_spots_over_body.","Based on your symptoms, the likely diagnosis is Dengue."
"I have the following symptoms:  skin_rash,  chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain,  red_spots_over_body.","Based on your symptoms, the likely diagnosis is Dengue."
